Period;Municipality;Neighbourhood;Sampling plot;Coordinates (Latitude);Coordinates (Longitude);Habitat type;Species;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 1;"10°58'24.0""S";"37°06'16.0""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Achatina fulica;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Cyclodontina fasciata;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Streptartemon cookeanus;;;;;;;
Rainy period ;Aracaju;Santa Maria;Parcela 2;"10°58'28.0""S";"37°06'16.5""W";Quintal;Gulella bicolor;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 1;"10°59'39.2""S";"37°03'35.1""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Atalaia;Parcela 2;"10°59'36.0""S";"37°03'43.9""W";Terreno baldio;Bulimulus tenuissimus;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
Rainy period ;Aracaju;Jardins;Parcela 1;"10°56'55.9""S";"37°03'15.1""W";Parque Urbano;Subulina octona;;;;;;;
